,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,Estimated_CR,TestImg,ImgClass,EnergyPt,PSNR,SSIM
0,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,24.32768729512955,0.863360329854203
1,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,23.33146683578539,0.8060196403853755
2,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,21.448354631375267,0.7012710560051987
3,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,20.845873104578168,0.6424367482259946
4,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,20.25860981473189,0.5849976209279772
5,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",6,0.024801587301587324,baboon.bmp,hf,0.9050479009661354,19.96334666652915,0.5486747713183129
6,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",7,0.024801587301587324,baboon.bmp,hf,0.9050479009661354,19.75555549868932,0.5260043103179003
7,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,24.334469068418155,0.8643161647211116
8,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,23.356546689834197,0.808391838205973
9,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,21.409868988387363,0.7020203648162786
10,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,20.81477316813739,0.6442405510400759
11,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,0.025000000000000022,baboon.bmp,hf,0.9050479009661354,20.220088040171834,0.5860240157485417
12,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,0.024801587301587324,baboon.bmp,hf,0.9050479009661354,19.91416219499478,0.5481369626289692
13,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,0.024801587301587324,baboon.bmp,hf,0.9050479009661354,19.69321959573937,0.5252693573720649
14,coif11,,,,,,,,,,,1,0.975,baboon.bmp,,,22.070219517848145,0.7754904572526528
15,coif11,,,,,,,,,,,2,0.975,baboon.bmp,,,19.13212017840421,0.5117081744708517
16,coif11,,,,,,,,,,,3,0.975,baboon.bmp,,,19.44644633107944,0.480057384984412
17,coif11,,,,,,,,,,,4,0.975,baboon.bmp,,,20.01955283288726,0.5304365454473697
18,coif11,,,,,,,,,,,5,0.975,baboon.bmp,,,20.089731712345728,0.5374674835170878
19,coif11,,,,,,,,,,,6,0.975,baboon.bmp,,,20.096508409320467,0.5381917020001574
20,coif11,,,,,,,,,,,7,0.975,baboon.bmp,,,20.09739898440781,0.538278878288689
21,dmey,,,,,,,,,,,1,0.975,baboon.bmp,,,22.08439790720479,0.7759879955336852
22,dmey,,,,,,,,,,,2,0.975,baboon.bmp,,,19.172614285957017,0.5150210421079773
23,dmey,,,,,,,,,,,3,0.975,baboon.bmp,,,19.43015267367508,0.480422200911343
24,dmey,,,,,,,,,,,4,0.975,baboon.bmp,,,19.990242588418795,0.5299348621993988
25,dmey,,,,,,,,,,,5,0.975,baboon.bmp,,,20.060639409942475,0.5380225195226865
26,dmey,,,,,,,,,,,6,0.975,baboon.bmp,,,20.069327493330395,0.5388434141424053
27,dmey,,,,,,,,,,,7,0.975,baboon.bmp,,,20.069886380029118,0.5388563273167968
