,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,Clusters,TestImg,Entropy_Uniform,PSNR_Uniform,SSIM_Uniform
0,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,8,lenna.bmp,0.4381039691275323,19.51546910747758,0.6183002518058008
1,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,16,lenna.bmp,1.274865070876188,25.522488088343927,0.8306872187835954
2,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,32,lenna.bmp,2.0539628877005747,31.1171703365076,0.9346724175089519
3,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,64,lenna.bmp,2.9747727354440485,37.878721257461116,0.9869509300344277
4,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,128,lenna.bmp,3.8420924752703796,44.311511379589625,0.9969647918085596
5,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,256,lenna.bmp,4.66348277434787,49.483285576653685,0.9989991733027309
6,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,512,lenna.bmp,5.4441573726901265,56.558125850388095,0.999814345361559
7,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,8,lenna.bmp,0.5997463202843485,13.09054327818962,0.2665241325143005
8,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,16,lenna.bmp,1.308384799551566,22.079233823505888,0.6968883952334605
9,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,32,lenna.bmp,1.9481183781418447,27.509935801148462,0.8731065423611649
10,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,64,lenna.bmp,2.8506105500349284,34.61415272760413,0.970264457792169
11,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,128,lenna.bmp,3.765023430956566,39.45268451806414,0.9907383388586971
12,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,256,lenna.bmp,4.61165160936557,45.1496756089564,0.997217325536994
13,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,512,lenna.bmp,5.431364741938986,52.40573406598388,0.9995351656428814
14,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,8,lenna.bmp,0.5965680486311885,10.2700472071054,0.16001911399452495
15,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,16,lenna.bmp,1.3415241748137763,19.590310412759123,0.5964769881759304
16,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,32,lenna.bmp,1.9579048575783629,24.92972454093533,0.812715778841886
17,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,64,lenna.bmp,2.8692858691077183,30.03445036450313,0.9274350577817388
18,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,128,lenna.bmp,3.7893125734658266,37.25155215938387,0.9867497513479084
19,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,256,lenna.bmp,4.641183208820718,43.22631302617011,0.9964780760350257
20,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,512,lenna.bmp,5.474760794477559,48.985672462189704,0.9990188189953486
21,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,8,lenna.bmp,0.9075408353381575,8.369106567029327,0.10370624821270834
22,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,16,lenna.bmp,1.0763513357385746,17.568081263564178,0.5170697752991603
23,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,32,lenna.bmp,1.9581855341626508,23.636915112408925,0.783319370084217
24,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard,Delta Function,Only Refinable,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,64,lenna.bmp,2.8544108558043395,30.33987218641343,0.9369848955728528
