,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,Estimated_CR,TestImg,PSNR,SSIM,Wavename,PSNR_Uniform,SSIM_Uniform
0,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,0.050000000000000044,airplane.bmp,40.880910207632446,0.9848194185430441,,,
1,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,0.050000000000000044,airplane.bmp,38.46152840411125,0.9725834506000519,,,
2,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,0.050000000000000044,airplane.bmp,35.82976932671382,0.9544572027895208,,,
3,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,0.050000000000000044,airplane.bmp,34.607853421685554,0.9416426468135681,,,
4,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,0.050000000000000044,airplane.bmp,33.441112642493856,0.9275020193073663,,,
5,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",6,0.050000000000000044,airplane.bmp,32.86954853055623,0.9199432698015746,,,
6,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",7,0.050000000000000044,airplane.bmp,32.39415851323904,0.9140889733541451,,,
7,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,0.050000000000000044,baboon.bmp,25.437099005160665,0.8814219180707342,,,
8,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,0.050000000000000044,baboon.bmp,24.45569454592921,0.8323543553865593,,,
9,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,0.050000000000000044,baboon.bmp,22.64659112222773,0.7518015772755136,,,
10,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,0.050000000000000044,baboon.bmp,22.00386136264525,0.7058473360587739,,,
11,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,0.050000000000000044,baboon.bmp,21.41488987554326,0.6655236594688674,,,
12,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",6,0.04960317460317465,baboon.bmp,21.102410387806522,0.6408647435688127,,,
13,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",7,0.04960317460317465,baboon.bmp,20.90629864409342,0.6258467094458823,,,
14,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,0.050000000000000044,barbara.bmp,38.75762200871778,0.9832005777135604,,,
15,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,0.050000000000000044,barbara.bmp,33.39386753879471,0.9513923268573306,,,
16,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,0.050000000000000044,barbara.bmp,31.156576172173487,0.9211221993146107,,,
17,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,0.050000000000000044,barbara.bmp,29.722004503013522,0.8926854901585638,,,
18,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,0.050000000000000044,barbara.bmp,28.88781142383644,0.8704898366832478,,,
19,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",6,0.050000000000000044,barbara.bmp,28.36176664957316,0.8555870935441277,,,
20,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",7,0.050000000000000044,barbara.bmp,28.02032973433327,0.8463305989695394,,,
21,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",1,0.050000000000000044,boats.bmp,41.73160530574669,0.9849555274270653,,,
22,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",2,0.050000000000000044,boats.bmp,37.95889955851687,0.9668362465567275,,,
23,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",3,0.050000000000000044,boats.bmp,35.59905153769916,0.9496244426606297,,,
24,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,0.050000000000000044,boats.bmp,34.36188395435319,0.9355857488072092,,,
25,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,0.050000000000000044,boats.bmp,33.281208595879974,0.9203451905624637,,,
