,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu
0, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,airplane.bmp,27.302792077439765,0.6359186426942861,26.898851953988704,0.5987168796548313
1, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,airplane.bmp,28.33278950529818,0.6951547737013373,28.263356967133944,0.6692851806669896
2, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,airplane.bmp,28.642408712023787,0.7142026116081681,29.09100781736502,0.71838140172642
3, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,airplane.bmp,17.361465252393153,0.44386125292080253,15.003420986142544,0.4112225775151136
4, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,airplane.bmp,28.723753691785507,0.7191865100899602,29.709515178204725,0.7633989484467498
5, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,airplane.bmp,28.727213006403062,0.7193319432249304,29.783733181962717,0.770083744811995
6, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,airplane.bmp,28.728094709730293,0.7193456202395914,29.810715822045598,0.7729621469599385
7, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",8,airplane.bmp,15.820718380728515,0.5937325066452529,14.45503825635196,0.6250864977480131
8, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",9,airplane.bmp,28.728281328020632,0.7193416391178775,29.819824826949,0.7747865212772904
9, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,airplane.bmp,28.72829220682128,0.7193411254625781,29.821315741512933,0.7751465846032174
10, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,baboon.bmp,22.938458751014757,0.7703664593154484,22.77149257848929,0.7665242734952317
11, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,baboon.bmp,23.19435236627875,0.7818037353800705,21.521707430591018,0.7102937978664844
12, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,baboon.bmp,23.274707946354148,0.7853389839153777,20.729215317125714,0.6459941664643638
13, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,baboon.bmp,16.75788357651355,0.5051608555356165,14.612303468250698,0.23405481821309138
14, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,baboon.bmp,23.301429231812456,0.7859039194288622,19.926917579245497,0.535528161345623
