,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,SSIM_gaussian_bayes,SSIM_gaussian_visu
0, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,airplane.bmp,0.6365598600866037,0.6365146532694802
1, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,airplane.bmp,0.6967205034828907,0.7370967013623663
2, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,airplane.bmp,0.7161990103668691,0.8012941807991691
3, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,airplane.bmp,0.7203615114932301,0.8301409373138227
4, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,airplane.bmp,0.7213437930446476,0.8382546458742633
5, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,airplane.bmp,0.7214738337719178,0.8380054299216569
6, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,airplane.bmp,0.7214949696403978,0.8366245461140197
7, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,baboon.bmp,0.7703525631374329,0.7655108697048072
8, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,baboon.bmp,0.781573199583706,0.6987189897942985
9, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,baboon.bmp,0.7851326729320692,0.629625325548825
10, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,baboon.bmp,0.7857191545549894,0.5654207536295255
11, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,baboon.bmp,0.7856962526156643,0.5198886356207553
12, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,baboon.bmp,0.7856263813134156,0.4924705442474376
13, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,baboon.bmp,0.785580549226215,0.48070383974128295
14, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,barbara.bmp,0.7156521148351308,0.7093641934508876
15, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,barbara.bmp,0.751340531269524,0.732339996655081
16, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,barbara.bmp,0.7626650493079978,0.7365922932900005
17, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,barbara.bmp,0.765746708508528,0.734833213894618
18, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,barbara.bmp,0.7664139645537044,0.727076963113757
19, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,barbara.bmp,0.7665208630688171,0.7178674389233037
20, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,barbara.bmp,0.7665193850676758,0.7123727999400296
21, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,boats.bmp,0.6549892322945773,0.6549747048272009
22, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,boats.bmp,0.7101274933158827,0.7366652175746061
23, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,boats.bmp,0.7297322169513923,0.7897297747378836
24, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,boats.bmp,0.7335588387455574,0.7975721609880871
25, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,boats.bmp,0.7346710261617071,0.8000119831394259
26, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,boats.bmp,0.7348244797339666,0.7956176270645274
27, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,boats.bmp,0.7348591648381921,0.7943586945753409
28, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,BoatsColor.bmp,0.666757991531853,0.6666765991676247
29, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,BoatsColor.bmp,0.7171246760176847,0.7484784962720181
30, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,BoatsColor.bmp,0.7339530068861889,0.7985254320453222
31, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,BoatsColor.bmp,0.7370444600470176,0.8055338942924812
32, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,BoatsColor.bmp,0.7375677616531668,0.8060235597307117
33, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,BoatsColor.bmp,0.7376729874721758,0.802439538270037
