,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_snp_bayes,SSIM_snp_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu,PSNR_snp_visu,SSIM_snp_visu
0,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.566639458395812,0.2956271990559955,11.421044769683373,0.19151694371634537,30.615891198825125,0.820857382250646,30.615891198825125,0.820857382250646
1,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,5,lenna.bmp,18.63074171442594,0.29667732136759073,11.484899985433747,0.19379691680184313,34.27546426467381,0.8890000133221568,34.27546426467381,0.8890000133221568
2,Q0_IN_03_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 3-point Standard,Delta Function,No Symmetry,QuincunxRotation,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.601340451954982,0.2973590748037328,11.462933212749027,0.19397192990806233,32.75703308877869,0.8784542145868363,32.75703308877869,0.8784542145868363
3,Q0_IN_03_ST_1C_NS_FLL2,Frame-like Dual Wavelet System,Best In 3-point Standard,1-Compatible In 2-point Standard,No Symmetry,QuincunxRotation,2,1,1,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.595029633523847,0.2963801314755031,11.4503223797708,0.1915129989851772,34.26281646807591,0.9009467859774829,34.26281646807591,0.9009467859774829
4,Q0_IN_03_ST_BI_NS_FS,Dual Wavelet Frame In Sobolev Spaces,Best In 3-point Standard,Biorthogonal In Cube-1,No Symmetry,QuincunxRotation,1,1,1,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.593503595121565,0.29558666603736883,11.443899528089734,0.18979468523926205,34.97648795424677,0.9034814902566763,34.97648795424677,0.9034814902566763
5,Q0_IN_03_ST_BI_NS_FR,Dual Wavelet Frame,Best In 3-point Standard,Biorthogonal In Special Support,No Symmetry,QuincunxRotation,1,1,2,True,"Created by the algorithm in paper ""Symmetric multivariate wavelets"" by Karakazyan S., Skopina M., Tchobanou M. in Int. J. Wavelets Multiresolut. Inf. Process. 2009 7 (3) P. 313-340.",5,lenna.bmp,18.58039719542988,0.2961192202123311,11.409858825825903,0.18991790019505297,34.907241564405886,0.9024294721989081,34.907241564405886,0.9024294721989081
6,Q0_IN_03_HL_DF_D2_FL,Frame-like Dual Wavelet System,Best In 3-point Line,Delta Function,D2,QuincunxRotation,1,2,0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.581743685742957,0.2958960129867908,11.469808944109408,0.1941332507107282,34.121330591921705,0.9030991493772443,34.121330591921705,0.9030991493772443
7,Q0_IN_03_HL_1C_NS_FLL2,Frame-like Dual Wavelet System,Best In 3-point Line,1-Compatible In 2-point Standard,No Symmetry,QuincunxRotation,2,2,1,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.589177630313124,0.2955089461420829,11.40025920407771,0.19029528727527806,33.75884734106771,0.904424226495119,33.75884734106771,0.904424226495119
8,Q0_IN_03_HL_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In 3-point Line,2-Compatible In 3-point Line,D2,QuincunxRotation,2,2,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.721934958900103,0.2938425340248426,11.364921882145627,0.18694949327651258,35.49241221003703,0.9240832614526339,35.49241221003703,0.9240832614526339
9,Q0_IN_03_HL_BI_D2_FS,Dual Wavelet Frame In Sobolev Spaces,Best In 3-point Line,Biorthogonal In 5-point Line,D2,QuincunxRotation,1,2,2,True,"Created by the algorithm in paper ""Symmetric multivariate wavelets"" by Karakazyan S., Skopina M., Tchobanou M. in Int. J. Wavelets Multiresolut. Inf. Process. 2009 7 (3) P. 313-340.",5,lenna.bmp,18.593166387942702,0.29616891973879245,11.41089692483993,0.19118137085985326,36.028307726246,0.9206448521077887,36.028307726246,0.9206448521077887
10,Q0_IN_05_R1_DF_D4_FL,Frame-like Dual Wavelet System,Best In Rhomb-1,Delta Function,D4,QuincunxRotation,1,2,0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.581937188360378,0.2961359766513218,11.455144912045064,0.19094467312592994,34.25681225791059,0.9059700618241049,34.25681225791059,0.9059700618241049
11,Q0_IN_05_R1_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In Rhomb-1,2-Compatible In 3-point Line,D2,QuincunxRotation,2,2,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.70108862239819,0.2928564056545093,11.400053895351327,0.18761089503219094,35.04285841830207,0.9222516690896057,35.04285841830207,0.9222516690896057
12,Q0_IN_05_R1_2C_D4_FLL2,Frame-like Dual Wavelet System,Best In Rhomb-1,2-Compatible In Rhomb-1,D4,QuincunxRotation,2,2,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.808646495751628,0.29258169140259555,11.410132261805403,0.18854466972840814,34.85938568472071,0.922880190462772,34.85938568472071,0.922880190462772
13, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.583781138789178,0.2962647197155059,11.412817152208365,0.1907954634065252,36.29299754271499,0.9226594837256991,36.29299754271499,0.9226594837256991
14,Q0_IN_13_C2_DF_D4_FL,Frame-like Dual Wavelet System,Best In Cube-2,Delta Function,D4,QuincunxRotation,1,4,0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.581307417545535,0.29644078301260124,11.446919469875937,0.19253056520358658,33.890080812862934,0.8987697835836291,33.890080812862934,0.8987697835836291
